match_id,SetNo,GameNo,PointNumber,point_idx,perspective,server_is_persp,pts_in_game_for,pts_in_game_against,games_in_set_for,games_in_set_against,sets_for,sets_against,best_of,sets_needed_to_win,is_tiebreak,is_game_point_for,is_game_point_against,is_break_point,ttl_diff,aces_diff,df_diff
2013-usopen-1101,1,1,1,1,P1,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0.0,0.0
2013-usopen-1101,1,1,2,2,P1,1,0,1,0,0,0,0,5,3,0,0,0,0,-1,0.0,0.0
2013-usopen-1101,1,1,3,3,P1,1,1,1,0,0,0,0,5,3,0,0,0,0,0,1.0,0.0
2013-usopen-1101,1,1,4,4,P1,1,2,1,0,0,0,0,5,3,0,0,0,0,1,1.0,0.0
2013-usopen-1101,1,1,5,5,P1,1,3,1,0,0,0,0,5,3,0,1,0,0,2,1.0,0.0
2013-usopen-1101,1,2,6,6,P1,0,4,1,1,0,0,0,5,3,0,0,0,0,3,1.0,0.0
2013-usopen-1101,1,2,7,7,P1,0,1,0,1,0,0,0,5,3,0,0,0,0,4,1.0,0.0
2013-usopen-1101,1,2,8,8,P1,0,2,0,1,0,0,0,5,3,0,0,0,0,5,1.0,0.0
2013-usopen-1101,1,2,9,9,P1,0,3,0,1,0,0,0,5,3,0,1,0,1,6,1.0,0.0
2013-usopen-1101,1,3,10,10,P1,1,4,0,2,0,0,0,5,3,0,0,0,0,7,1.0,0.0
2013-usopen-1101,1,3,11,11,P1,1,1,0,2,0,0,0,5,3,0,0,0,0,8,1.0,0.0
2013-usopen-1101,1,3,12,12,P1,1,1,1,2,0,0,0,5,3,0,0,0,0,7,1.0,0.0
2013-usopen-1101,1,3,13,13,P1,1,2,1,2,0,0,0,5,3,0,0,0,0,8,1.0,0.0
2013-usopen-1101,1,3,14,14,P1,1,3,1,2,0,0,0,5,3,0,1,0,0,9,1.0,0.0
2013-usopen-1101,1,4,15,15,P1,0,4,1,3,0,0,0,5,3,0,0,0,0,10,2.0,0.0
2013-usopen-1101,1,4,16,16,P1,0,1,0,3,0,0,0,5,3,0,0,0,0,11,2.0,0.0
2013-usopen-1101,1,4,17,17,P1,0,1,1,3,0,0,0,5,3,0,0,0,0,10,2.0,0.0
2013-usopen-1101,1,4,18,18,P1,0,2,1,3,0,0,0,5,3,0,0,0,0,11,2.0,0.0
2013-usopen-1101,1,4,19,19,P1,0,2,2,3,0,0,0,5,3,0,0,0,0,10,2.0,0.0
2013-usopen-1101,1,4,20,20,P1,0,3,2,3,0,0,0,5,3,0,1,0,1,11,2.0,0.0
2013-usopen-1101,1,4,21,21,P1,0,3,3,3,0,0,0,5,3,0,0,0,0,10,2.0,0.0
2013-usopen-1101,1,4,22,22,P1,0,3,4,3,0,0,0,5,3,0,0,1,0,9,2.0,0.0
2013-usopen-1101,1,5,23,23,P1,1,3,5,3,1,0,0,5,3,0,0,0,0,8,2.0,0.0
2013-usopen-1101,1,5,24,24,P1,1,1,0,3,1,0,0,5,3,0,0,0,0,9,2.0,0.0
2013-usopen-1101,1,5,25,25,P1,1,1,1,3,1,0,0,5,3,0,0,0,0,8,2.0,0.0
2013-usopen-1101,1,5,26,26,P1,1,2,1,3,1,0,0,5,3,0,0,0,0,9,2.0,0.0
2013-usopen-1101,1,5,27,27,P1,1,3,1,3,1,0,0,5,3,0,1,0,0,10,2.0,0.0
2013-usopen-1101,1,6,28,28,P1,0,4,1,4,1,0,0,5,3,0,0,0,0,11,2.0,0.0
2013-usopen-1101,1,6,29,29,P1,0,0,1,4,1,0,0,5,3,0,0,0,0,10,2.0,0.0
2013-usopen-1101,1,6,30,30,P1,0,1,1,4,1,0,0,5,3,0,0,0,0,11,2.0,0.0
2013-usopen-1101,1,6,31,31,P1,0,2,1,4,1,0,0,5,3,0,0,0,0,12,2.0,0.0
2013-usopen-1101,1,6,32,32,P1,0,3,1,4,1,0,0,5,3,0,1,0,1,13,2.0,0.0
2013-usopen-1101,1,6,33,33,P1,0,3,2,4,1,0,0,5,3,0,1,0,1,12,1.0,0.0
2013-usopen-1101,1,7,34,34,P1,1,4,2,5,1,0,0,5,3,0,0,0,0,13,1.0,0.0
2013-usopen-1101,1,7,35,35,P1,1,0,1,5,1,0,0,5,3,0,0,0,0,12,1.0,0.0
2013-usopen-1101,1,7,36,36,P1,1,1,1,5,1,0,0,5,3,0,0,0,0,13,1.0,0.0
2013-usopen-1101,1,7,37,37,P1,1,1,2,5,1,0,0,5,3,0,0,0,0,12,1.0,1.0
2013-usopen-1101,1,7,38,38,P1,1,1,3,5,1,0,0,5,3,0,0,1,0,11,1.0,1.0
2013-usopen-1101,1,7,39,39,P1,1,2,3,5,1,0,0,5,3,0,0,1,0,12,1.0,1.0
2013-usopen-1101,1,7,40,40,P1,1,3,3,5,1,0,0,5,3,0,0,0,0,13,1.0,1.0
2013-usopen-1101,1,7,41,41,P1,1,3,4,5,1,0,0,5,3,0,0,1,0,12,1.0,1.0
2013-usopen-1101,1,7,42,42,P1,1,4,4,5,1,0,0,5,3,0,0,0,0,13,1.0,1.0
2013-usopen-1101,1,7,43,43,P1,1,5,4,5,1,0,0,5,3,0,1,0,0,14,1.0,1.0
2013-usopen-1101,2,1,44,44,P1,0,6,4,0,0,1,0,5,3,0,0,0,0,15,2.0,1.0
2013-usopen-1101,2,1,45,45,P1,0,1,0,0,0,1,0,5,3,0,0,0,0,16,2.0,1.0
2013-usopen-1101,2,1,46,46,P1,0,2,0,0,0,1,0,5,3,0,0,0,0,17,2.0,1.0
2013-usopen-1101,2,1,47,47,P1,0,3,0,0,0,1,0,5,3,0,1,0,1,18,2.0,1.0
2013-usopen-1101,2,1,48,48,P1,0,3,1,0,0,1,0,5,3,0,1,0,1,17,2.0,1.0
2013-usopen-1101,2,2,49,49,P1,1,4,1,1,0,1,0,5,3,0,0,0,0,18,2.0,1.0
2013-usopen-1101,2,2,50,50,P1,1,1,0,1,0,1,0,5,3,0,0,0,0,19,2.0,1.0
2013-usopen-1101,2,2,51,51,P1,1,2,0,1,0,1,0,5,3,0,0,0,0,20,3.0,1.0
2013-usopen-1101,2,2,52,52,P1,1,2,1,1,0,1,0,5,3,0,0,0,0,19,3.0,1.0
2013-usopen-1101,2,2,53,53,P1,1,3,1,1,0,1,0,5,3,0,1,0,0,20,3.0,1.0
2013-usopen-1101,2,3,54,54,P1,0,4,1,2,0,1,0,5,3,0,0,0,0,21,3.0,1.0
2013-usopen-1101,2,3,55,55,P1,0,1,0,2,0,1,0,5,3,0,0,0,0,22,3.0,0.0
2013-usopen-1101,2,3,56,56,P1,0,2,0,2,0,1,0,5,3,0,0,0,0,23,3.0,0.0
2013-usopen-1101,2,3,57,57,P1,0,2,1,2,0,1,0,5,3,0,0,0,0,22,3.0,0.0
2013-usopen-1101,2,3,58,58,P1,0,2,2,2,0,1,0,5,3,0,0,0,0,21,3.0,0.0
2013-usopen-1101,2,3,59,59,P1,0,2,3,2,0,1,0,5,3,0,0,1,0,20,3.0,0.0
2013-usopen-1101,2,4,60,60,P1,1,2,4,2,1,1,0,5,3,0,0,0,0,19,2.0,0.0
2013-usopen-1101,2,4,61,61,P1,1,0,1,2,1,1,0,5,3,0,0,0,0,18,2.0,0.0
2013-usopen-1101,2,4,62,62,P1,1,1,1,2,1,1,0,5,3,0,0,0,0,19,3.0,0.0
2013-usopen-1101,2,4,63,63,P1,1,2,1,2,1,1,0,5,3,0,0,0,0,20,3.0,0.0
2013-usopen-1101,2,4,64,64,P1,1,3,1,2,1,1,0,5,3,0,1,0,0,21,3.0,0.0
2013-usopen-1101,2,5,65,65,P1,0,4,1,3,1,1,0,5,3,0,0,0,0,22,3.0,0.0
2013-usopen-1101,2,5,66,66,P1,0,0,1,3,1,1,0,5,3,0,0,0,0,21,3.0,0.0
2013-usopen-1101,2,5,67,67,P1,0,1,1,3,1,1,0,5,3,0,0,0,0,22,3.0,0.0
2013-usopen-1101,2,5,68,68,P1,0,1,2,3,1,1,0,5,3,0,0,0,0,21,3.0,0.0
2013-usopen-1101,2,5,69,69,P1,0,1,3,3,1,1,0,5,3,0,0,1,0,20,3.0,0.0
2013-usopen-1101,2,5,70,70,P1,0,2,3,3,1,1,0,5,3,0,0,1,0,21,3.0,0.0
2013-usopen-1101,2,6,71,71,P1,1,2,4,3,2,1,0,5,3,0,0,0,0,20,3.0,0.0
2013-usopen-1101,2,6,72,72,P1,1,0,1,3,2,1,0,5,3,0,0,0,0,19,3.0,0.0
2013-usopen-1101,2,6,73,73,P1,1,1,1,3,2,1,0,5,3,0,0,0,0,20,3.0,0.0
